substance,year,month,detections
4-Fluorofentanyl,2020,12,4
4-Fluorofentanyl,2021,1,4
4-Fluorofentanyl,2021,2,3
4-Fluorofentanyl,2021,3,4
4-Fluorofentanyl,2021,4,9
4-Fluorofentanyl,2021,5,10
4-Fluorofentanyl,2021,6,24
4-Fluorofentanyl,2021,7,16
4-Fluorofentanyl,2021,8,16
4-Fluorofentanyl,2021,9,3
4-Fluorofentanyl,2021,10,5
4-Fluorofentanyl,2021,11,18
4-Fluorofentanyl,2021,12,12
4-Fluorofentanyl,2022,1,8
4-Fluorofentanyl,2022,2,5
4-Fluorofentanyl,2022,3,11
4-Fluorofentanyl,2022,4,25
4-Fluorofentanyl,2022,5,39
4-Fluorofentanyl,2022,6,24
4-Fluorofentanyl,2022,7,34
4-Fluorofentanyl,2022,8,19
4-Fluorofentanyl,2022,9,34
4-Fluorofentanyl,2022,10,8
4-Fluorofentanyl,2022,11,12
4-Fluorofentanyl,2022,12,14
4-Fluorofentanyl,2023,1,11
4-Fluorofentanyl,2023,2,6
4-Fluorofentanyl,2023,3,24
4-Fluorofentanyl,2023,4,14
4-Fluorofentanyl,2023,5,12
4-Fluorofentanyl,2023,6,21
4-Fluorofentanyl,2023,7,6
4-Fluorofentanyl,2023,8,10
4-Fluorofentanyl,2023,9,13
4-Fluorofentanyl,2023,10,15
4-Fluorofentanyl,2023,11,11
4-Fluorofentanyl,2023,12,8
4-Fluorofentanyl,2024,1,15
4-Fluorofentanyl,2024,2,8
Acetylfentanyl,2015,2,1
Acetylfentanyl,2015,5,1
Acetylfentanyl,2015,6,1
Acetylfentanyl,2015,8,1
Acetylfentanyl,2016,5,1
Acetylfentanyl,2019,10,1
Acetylfentanyl,2020,1,1
Acetylfentanyl,2020,7,1
Acetylfentanyl,2020,9,1
Acetylfentanyl,2020,10,1
Acetylfentanyl,2020,12,1
Acetylfentanyl,2021,1,2
Acetylfentanyl,2021,3,2
Acetylfentanyl,2021,4,1
Acetylfentanyl,2021,6,5
Acetylfentanyl,2021,7,7
Acetylfentanyl,2021,8,4
Acetylfentanyl,2021,9,2
Acetylfentanyl,2021,11,1
Acetylfentanyl,2022,1,1
Acetylfentanyl,2022,2,2
Acetylfentanyl,2022,3,1
Acetylfentanyl,2022,4,5
Acetylfentanyl,2022,5,1
Acetylfentanyl,2022,6,2
Acetylfentanyl,2022,7,5
Acetylfentanyl,2022,8,4
Acetylfentanyl,2022,9,4
Acetylfentanyl,2022,10,4
Acetylfentanyl,2022,11,6
Acetylfentanyl,2022,12,6
Acetylfentanyl,2023,1,3
Acetylfentanyl,2023,2,6
Acetylfentanyl,2023,3,8
Acetylfentanyl,2023,4,14
Acetylfentanyl,2023,5,9
Acetylfentanyl,2023,6,4
Acetylfentanyl,2023,7,1
Acetylfentanyl,2023,8,2
Acetylfentanyl,2023,9,2
Acetylfentanyl,2023,10,5
Acetylfentanyl,2023,11,4
Acetylfentanyl,2023,12,4
Acetylfentanyl,2024,1,7
Acetylfentanyl,2024,2,9
Despropionyl-4-fluorofentanyl,2020,12,2
Despropionyl-4-fluorofentanyl,2021,1,5
Despropionyl-4-fluorofentanyl,2021,2,1
Despropionyl-4-fluorofentanyl,2021,3,4
Despropionyl-4-fluorofentanyl,2021,4,5
Despropionyl-4-fluorofentanyl,2021,5,4
Despropionyl-4-fluorofentanyl,2021,6,11
Despropionyl-4-fluorofentanyl,2021,7,10
Despropionyl-4-fluorofentanyl,2021,8,4
Despropionyl-4-fluorofentanyl,2021,10,2
Despropionyl-4-fluorofentanyl,2021,11,7
Despropionyl-4-fluorofentanyl,2021,12,5
Despropionyl-4-fluorofentanyl,2022,1,4
Despropionyl-4-fluorofentanyl,2022,3,4
Despropionyl-4-fluorofentanyl,2022,4,7
Despropionyl-4-fluorofentanyl,2022,5,10
Despropionyl-4-fluorofentanyl,2022,6,10
Despropionyl-4-fluorofentanyl,2022,7,18
Despropionyl-4-fluorofentanyl,2022,8,6
Despropionyl-4-fluorofentanyl,2022,9,6
Despropionyl-4-fluorofentanyl,2022,11,3
Despropionyl-4-fluorofentanyl,2022,12,4
Despropionyl-4-fluorofentanyl,2023,1,5
Despropionyl-4-fluorofentanyl,2023,3,11
Despropionyl-4-fluorofentanyl,2023,4,6
Despropionyl-4-fluorofentanyl,2023,5,6
Despropionyl-4-fluorofentanyl,2023,6,11
Despropionyl-4-fluorofentanyl,2023,7,3
Despropionyl-4-fluorofentanyl,2023,8,1
Despropionyl-4-fluorofentanyl,2023,9,6
Despropionyl-4-fluorofentanyl,2023,10,3
Despropionyl-4-fluorofentanyl,2023,11,3
Despropionyl-4-fluorofentanyl,2023,12,2
Despropionyl-4-fluorofentanyl,2024,1,2
Xylazine,2016,10,1
Xylazine,2020,3,2
Xylazine,2020,6,2
Xylazine,2020,7,3
Xylazine,2020,9,8
Xylazine,2020,10,4
Xylazine,2020,11,1
Xylazine,2020,12,11
Xylazine,2021,1,4
Xylazine,2021,2,8
Xylazine,2021,3,5
Xylazine,2021,4,11
Xylazine,2021,5,16
Xylazine,2021,6,29
Xylazine,2021,7,8
Xylazine,2021,8,24
Xylazine,2021,9,3
Xylazine,2021,10,16
Xylazine,2021,11,18
Xylazine,2021,12,6
Xylazine,2022,1,6
Xylazine,2022,2,3
Xylazine,2022,3,11
Xylazine,2022,4,18
Xylazine,2022,5,28
Xylazine,2022,6,18
Xylazine,2022,7,32
Xylazine,2022,8,22
Xylazine,2022,9,48
Xylazine,2022,10,26
Xylazine,2022,11,12
Xylazine,2022,12,34
Xylazine,2023,1,27
Xylazine,2023,2,19
Xylazine,2023,3,31
Xylazine,2023,4,34
Xylazine,2023,5,27
Xylazine,2023,6,30
Xylazine,2023,7,16
Xylazine,2023,8,26
Xylazine,2023,9,27
Xylazine,2023,10,30
Xylazine,2023,11,29
Xylazine,2023,12,16
Xylazine,2024,1,65
Xylazine,2024,2,42
